date,winner,winscore,loser,losescore
2026-09-12,Lenoir-Rhyne          ,21,Newberry              ,14
2026-09-12,Anderson_SC           ,39,UVA-Wise              ,21
2026-09-12,Carson-Newman         ,24,Wingate               ,23
2026-09-12,Tusculum              ,28,Emory_&_Henry         ,26
2026-09-12,Mars_Hill             ,22,Catawba               ,16
2026-09-19,Carson-Newman         ,42,UVA-Wise              ,7
2026-09-19,Anderson_SC           ,14,Tusculum              ,7
2026-09-19,Newberry              ,25,Wingate               ,22
2026-09-19,Catawba               ,24,Emory_&_Henry         ,10
2026-09-19,Mars_Hill             ,15,Lenoir-Rhyne          ,7
2026-09-26,UVA-Wise              ,0,Wingate               ,0
2026-09-26,Lenoir-Rhyne          ,0,Anderson_SC           ,0
2026-09-26,Newberry              ,0,Emory_&_Henry         ,0
2026-09-26,Mars_Hill             ,0,Carson-Newman         ,0
2026-09-26,Catawba               ,0,Tusculum              ,0
2026-10-03,Carson-Newman         ,0,Lenoir-Rhyne          ,0
2026-10-03,UVA-Wise              ,0,Newberry              ,0
2026-10-03,Emory_&_Henry         ,0,Anderson_SC           ,0
2026-10-03,Wingate               ,0,Catawba               ,0
2026-10-03,Tusculum              ,0,Mars_Hill             ,0
2026-10-10,Lenoir-Rhyne          ,0,UVA-Wise              ,0
2026-10-10,Anderson_SC           ,0,Carson-Newman         ,0
2026-10-10,Newberry              ,0,Catawba               ,0
2026-10-10,Tusculum              ,0,Wingate               ,0
2026-10-10,Mars_Hill             ,0,Emory_&_Henry         ,0
2026-10-17,Wingate               ,0,Lenoir-Rhyne          ,0
2026-10-17,UVA-Wise              ,0,Tusculum              ,0
2026-10-17,Catawba               ,0,Anderson_SC           ,0
2026-10-17,Newberry              ,0,Mars_Hill             ,0
2026-10-17,Emory_&_Henry         ,0,Carson-Newman         ,0
2026-10-31,Lenoir-Rhyne          ,0,Emory_&_Henry         ,0
2026-10-31,Mars_Hill             ,0,UVA-Wise              ,0
2026-10-31,Anderson_SC           ,0,Wingate               ,0
2026-10-31,Tusculum              ,0,Newberry              ,0
2026-10-31,Carson-Newman         ,0,Catawba               ,0
2026-11-07,Catawba               ,0,UVA-Wise              ,0
2026-11-07,Mars_Hill             ,0,Anderson_SC           ,0
2026-11-07,Newberry              ,0,Carson-Newman         ,0
2026-11-07,Emory_&_Henry         ,0,Wingate               ,0
2026-11-07,Tusculum              ,0,Lenoir-Rhyne          ,0
2026-11-14,Lenoir-Rhyne          ,0,Catawba               ,0
2026-11-14,UVA-Wise              ,0,Emory_&_Henry         ,0
2026-11-14,Anderson_SC           ,0,Newberry              ,0
2026-11-14,Wingate               ,0,Mars_Hill             ,0
2026-11-14,Carson-Newman         ,0,Tusculum              ,0
