player,R1,R2,R3,R4
Rory McIlroy,67,65,73,71
Scottie Scheffler,70,74,65,68
Justin Rose,70,69,69,70
Cameron Young,73,67,65,73
Tyrrell Hatton,74,66,72,66
Russell Henley,73,71,66,68
Sam Burns,67,71,68,73
Collin Morikawa,74,69,68,68
Max Homa,72,70,71,67
Xander Schauffele,70,72,70,68
Jake Knapp,73,69,69,70
Hideki Matsuyama,72,70,72,69
Jason Day,69,71,68,75
Brooks Koepka,72,69,71,71
Patrick Cantlay,77,67,66,73
Patrick Reed,69,69,72,73
Jordan Spieth,72,73,70,68
Matthew Fitzpatrick,74,69,70,71
Maverick McNealy,77,70,70,67
Viktor Hovland,75,71,71,67
Ludvig Aberg,74,70,69,72
Wyndham Clark,72,68,72,73
Keegan Bradley,72,74,73,66
Adam Scott,72,74,70,70
Michael Brennan,72,71,70,73
Matt McCarty,72,73,72,69
Chris Gotterup,72,69,72,73
Samuel Stevens,72,74,70,70
Brian Campbell,71,73,69,73
Alexander Noren,77,71,69,70
Shane Lowry,70,69,68,80
Harris English,73,71,71,72
Brian Harman,79,69,67,73
Ben Griffin,72,69,70,77
Gary Woodland,71,75,76,66
Dustin Johnson,73,71,75,69
Tommy Fleetwood,71,68,73,76
Hao-tong Li,71,69,69,80
Jon Rahm,78,70,73,68
Ryan Gerard,72,72,68,77
Kristoffer Reitan,72,68,73,77
Sepp Straka,73,72,69,76
Justin Thomas,72,74,71,73
Nick Taylor,71,72,70,77
Jacob Bridgeman,71,74,69,76
Sung-jae Im,76,69,69,77
Si-woo Kim,75,73,72,72
Aaron Rai,71,74,78,70
Corey Conners,75,73,71,75
Marco Penge,76,69,71,78
Kurt Kitayama,69,79,75,72
Sergio Garcia,72,75,74,75
Rasmus Hojgaard,78,70,73,77
Charl Schwartzel,75,73,77,75
Bubba Watson,76,73,-,-
Harry Hall,77,72,-,-
J.J. Spaun,74,75,-,-
Danny Willett,76,73,-,-
Ryan Fox,77,72,-,-
Bryson Dechambeau,76,74,-,-
Nicolai Hojgaard,76,74,-,-
Akshay Bhatia,73,77,-,-
Zach Johnson,75,75,-,-
Rasmus Neergaard-Petersen,77,74,-,-
Andrew Novak,75,76,-,-
Robert Macintyre,80,71,-,-
Tom McKibbin,75,76,-,-
Cameron Smith,74,77,-,-
Jackson Herrington,76,76,-,-
Ethan Fang,74,78,-,-
Casey Jarvis,77,75,-,-
Daniel Berger,76,76,-,-
Michael Kim,75,77,-,-
Mason Howell,77,76,-,-
Jose Maria Olazabal,74,79,-,-
Fred Couples,78,75,-,-
Mike Weir,81,73,-,-
Vijay Singh,79,75,-,-
John Keefer,76,79,-,-
Pongsapak Laopakdee,80,75,-,-
Sami Valimaki,80,75,-,-
Min Woo Lee,78,77,-,-
Carlos Ortiz,80,75,-,-
Max Greyserman,79,77,-,-
Nicolas Echavarria,79,78,-,-
Brandon Holtz,81,78,-,-
Mateo Pulcini,81,78,-,-
Aldrich Potgieter,84,75,-,-
Naoyuki Kataoka,84,75,-,-
Angel Cabrera,79,81,-,-
Davis Riley,82,80,-,-
