team	year	w	l	t	pf	pa
Alabama	2000	19	16	0	276	239
Alabama	2001	15	15	0	236	165
Alabama	2002	28	11	0	267	161
Alabama	2003	18	16	0	213	192
Alabama	2004	10	21	0	138	168
Alabama	2005	18	15	0	180	171
Alabama	2006	22	12	0	222	154
Alabama	2007	15	17	0	172	182
Alabama	2008	18	16	0	237	222
Alabama	2009	18	14	0	239	204
Alabama	2010	19	17	0	235	221
Alabama	2011	15	20	0	137	162
Alabama	2012	9	22	0	132	185
Alabama	2013	16	18	0	162	157
Alabama	2014	16	15	0	129	146
Alabama	2015	14	21	0	154	183
Alabama	2016	16	18	0	147	158
Alabama	2017	5	25	1	121	210
Alabama	2018	8	23	0	129	190
Alabama	2019	8	23	0	111	200
Alabama	2021	14	19	0	159	192
Alabama	2022	14	19	0	185	206
Alabama	2023	18	16	0	210	163
Alabama	2024	13	18	0	184	216
Alabama	2025	17	15	0	175	203
Alabama	2026	18	15	0	167	192
Arkansas	2000	8	20	0	189	252
Arkansas	2001	11	19	0	186	210
Arkansas	2002	14	18	0	176	204
Arkansas	2003	14	18	0	162	183
Arkansas	2004	21	13	0	197	175
Arkansas	2005	13	19	0	142	189
Arkansas	2006	18	14	0	195	169
Arkansas	2007	21	14	0	226	159
Arkansas	2008	14	15	0	188	204
Arkansas	2009	16	19	0	196	218
Arkansas	2010	18	14	0	206	158
Arkansas	2011	17	17	0	130	124
Arkansas	2012	17	18	0	163	145
Arkansas	2013	20	12	0	139	98
Arkansas	2014	19	16	0	143	125
Arkansas	2015	19	14	0	168	170
Arkansas	2016	7	23	0	137	211
Arkansas	2017	21	13	0	198	142
Arkansas	2018	23	14	0	238	172
Arkansas	2019	23	13	0	231	161
Arkansas	2021	26	8	0	221	148
Arkansas	2022	20	16	0	200	175
Arkansas	2023	22	11	0	210	162
Arkansas	2024	20	12	0	168	148
Arkansas	2025	22	13	0	284	173
Arkansas	2026	20	14	0	223	210
Auburn	2000	17	16	0	253	239
Auburn	2001	15	17	0	208	189
Auburn	2002	16	18	0	183	198
Auburn	2003	20	14	0	197	181
Auburn	2004	12	18	0	141	202
Auburn	2005	13	17	0	144	153
Auburn	2006	9	21	0	140	205
Auburn	2007	10	20	0	170	210
Auburn	2008	11	19	0	178	196
Auburn	2009	12	19	0	149	237
Auburn	2010	22	12	0	292	195
Auburn	2011	15	18	0	186	202
Auburn	2012	15	19	0	167	176
Auburn	2013	14	18	0	117	143
Auburn	2014	10	21	0	91	142
Auburn	2015	15	19	0	141	157
Auburn	2016	9	22	0	157	204
Auburn	2017	18	16	0	166	154
Auburn	2018	19	19	0	203	180
Auburn	2019	15	20	0	160	208
Auburn	2021	11	21	0	184	208
Auburn	2022	16	16	0	165	207
Auburn	2023	18	15	0	223	215
Auburn	2024	8	22	0	167	240
Auburn	2025	17	14	0	212	186
Auburn	2026	19	16	0	200	137
Florida	2000	21	12	0	251	218
Florida	2001	17	16	0	193	214
Florida	2002	23	12	0	275	172
Florida	2003	13	16	1	168	147
Florida	2004	19	15	0	224	179
Florida	2005	23	12	0	221	184
Florida	2006	10	20	0	137	197
Florida	2007	16	17	0	230	238
Florida	2008	17	15	0	202	173
Florida	2009	20	13	0	246	193
Florida	2010	24	10	0	203	161
Florida	2011	30	12	0	243	150
Florida	2012	20	15	0	166	112
Florida	2013	14	17	0	123	142
Florida	2014	24	11	0	169	148
Florida	2015	23	12	0	207	139
Florida	2016	22	12	0	191	135
Florida	2017	25	10	0	201	155
Florida	2018	23	14	0	231	171
Florida	2019	13	18	0	164	224
Florida	2021	20	14	0	195	166
Florida	2022	19	17	0	210	194
Florida	2023	25	13	0	263	221
Florida	2024	14	20	0	199	214
Florida	2025	16	16	0	203	192
Florida	2026	20	13	0	218	162
Georgia	2000	15	17	0	225	234
Georgia	2001	21	13	0	218	214
Georgia	2002	15	17	0	215	241
Georgia	2003	10	20	0	143	214
Georgia	2004	20	13	0	180	153
Georgia	2005	12	17	0	129	187
Georgia	2006	23	15	0	241	230
Georgia	2007	11	19	0	139	188
Georgia	2008	20	11	1	198	175
Georgia	2009	17	17	0	175	209
Georgia	2010	5	24	0	156	270
Georgia	2011	20	16	0	174	200
Georgia	2012	14	17	0	128	145
Georgia	2013	7	20	0	83	137
Georgia	2014	11	19	1	97	159
Georgia	2015	10	19	0	130	149
Georgia	2016	11	20	0	138	197
Georgia	2017	11	20	0	111	175
Georgia	2018	18	14	0	169	154
Georgia	2019	23	10	0	170	118
Georgia	2021	14	19	0	173	171
Georgia	2022	15	16	0	185	231
Georgia	2023	11	20	0	174	224
Georgia	2024	17	14	0	250	227
Georgia	2025	18	13	0	220	178
Georgia	2026	30	9	0	292	222
Kentucky	2000	13	18	0	178	230
Kentucky	2001	7	23	0	145	246
Kentucky	2002	6	24	0	141	238
Kentucky	2003	9	20	0	122	193
Kentucky	2004	7	23	0	158	234
Kentucky	2005	7	22	0	164	236
Kentucky	2006	20	12	0	232	202
Kentucky	2007	13	16	1	195	233
Kentucky	2008	17	16	0	224	184
Kentucky	2009	12	18	0	175	194
Kentucky	2010	13	17	0	201	230
Kentucky	2011	8	22	0	145	201
Kentucky	2012	20	13	0	149	124
Kentucky	2013	11	20	0	115	164
Kentucky	2014	17	17	0	216	193
Kentucky	2015	14	16	0	145	168
Kentucky	2016	15	16	0	139	150
Kentucky	2017	20	13	0	219	157
Kentucky	2018	13	18	0	164	206
Kentucky	2019	7	23	0	118	221
Kentucky	2021	12	19	0	154	209
Kentucky	2022	15	20	0	163	201
Kentucky	2023	16	17	0	204	182
Kentucky	2024	23	12	0	273	221
Kentucky	2025	13	18	0	183	191
Kentucky	2026	13	18	0	186	211
LSU	2000	23	10	0	304	221
LSU	2001	21	13	0	259	179
LSU	2002	21	12	0	211	158
LSU	2003	23	11	1	285	174
LSU	2004	18	15	0	227	199
LSU	2005	18	14	0	171	148
LSU	2006	14	19	0	159	243
LSU	2007	12	17	1	127	194
LSU	2008	22	11	1	253	189
LSU	2009	27	11	0	261	174
LSU	2010	18	16	0	254	230
LSU	2011	13	17	0	167	155
LSU	2012	20	13	0	155	131
LSU	2013	27	8	0	196	112
LSU	2014	21	11	1	164	109
LSU	2015	23	9	0	219	138
LSU	2016	22	12	0	201	160
LSU	2017	27	11	0	233	152
LSU	2018	19	17	0	183	192
LSU	2019	20	15	0	222	189
LSU	2021	13	20	0	165	191
LSU	2022	18	15	0	214	175
LSU	2023	26	13	0	313	246
LSU	2024	17	18	0	203	203
LSU	2025	22	12	0	199	144
LSU	2026	10	22	0	203	236
Mississippi	2000	13	17	0	159	210
Mississippi	2001	19	16	0	230	232
Mississippi	2002	15	16	0	195	230
Mississippi	2003	19	15	0	153	158
Mississippi	2004	19	14	0	149	138
Mississippi	2005	23	14	0	225	160
Mississippi	2006	22	13	0	245	193
Mississippi	2007	19	17	0	213	181
Mississippi	2008	18	18	0	191	212
Mississippi	2009	21	12	0	220	162
Mississippi	2010	19	16	0	181	220
Mississippi	2011	13	18	0	171	170
Mississippi	2012	16	18	0	135	156
Mississippi	2013	16	18	0	149	145
Mississippi	2014	20	14	0	192	129
Mississippi	2015	16	15	0	141	183
Mississippi	2016	21	14	0	190	176
Mississippi	2017	14	18	0	135	160
Mississippi	2018	22	14	0	220	185
Mississippi	2019	21	19	0	219	209
Mississippi	2021	21	14	0	218	189
Mississippi	2022	18	18	0	218	194
Mississippi	2023	6	25	0	152	248
Mississippi	2024	11	21	0	150	237
Mississippi	2025	20	16	0	226	207
Mississippi	2026	17	17	0	182	199
Mississippi St	2000	17	13	0	221	183
Mississippi St	2001	22	14	0	202	158
Mississippi St	2002	15	18	0	229	197
Mississippi St	2003	19	15	0	170	171
Mississippi St	2004	14	18	0	172	199
Mississippi St	2005	17	17	0	147	149
Mississippi St	2006	12	18	0	186	179
Mississippi St	2007	16	15	0	185	195
Mississippi St	2008	10	21	0	147	266
Mississippi St	2009	9	21	0	194	247
Mississippi St	2010	6	25	0	200	300
Mississippi St	2011	16	20	0	164	225
Mississippi St	2012	21	16	0	154	134
Mississippi St	2013	20	15	0	175	148
Mississippi St	2014	21	14	0	157	127
Mississippi St	2015	8	23	0	137	201
Mississippi St	2016	23	11	0	190	154
Mississippi St	2017	20	17	0	175	201
Mississippi St	2018	18	17	0	201	187
Mississippi St	2019	23	13	0	253	177
Mississippi St	2021	22	13	0	201	181
Mississippi St	2022	9	22	0	169	245
Mississippi St	2023	10	21	0	184	296
Mississippi St	2024	20	15	0	209	159
Mississippi St	2025	15	17	0	227	198
Mississippi St	2026	18	17	0	240	203
Missouri	2013	10	21	0	119	151
Missouri	2014	6	24	0	83	160
Missouri	2015	16	17	0	152	149
Missouri	2016	9	22	0	130	182
